Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments,id,album,compilation,single
0.0,0.000273359449,3.0,-25.176,0.0443,0.7241507920000001,6.19e-05,0.000806954491,0.34,83.398,117907.0,-49436648.3860081,137622.0,19981370.0,3070.0,0,1,0,0
0.0,0.1842200089999999,7.0,-14.008664552972904,0.05897267566853051,0.672221376,0.91,0.034965783,0.746,148.692,173427.0,184825.0,5190.0,53369354.26618655,122.0,1,1,0,0
0.0,-0.08650203551318902,6.0,-15.595999999999998,0.06529596678875953,0.667627624,0.867,0.0017715609999999,0.38,84.899,150667.0,184825.0,5190.0,19320810.0,122.0,2,1,0,0
1.0,0.2095845839999999,5.607164600100465,-6.251,0.0277,0.003796416,0.023220881707183665,0.001,0.2918026858800958,150.22,265000.0,202457327.0,997035.0,399661898.0,24350.0,3,1,0,0
4.0,0.2591151902367162,5.0,-5.951309409713918,0.026000000000000002,3.048625000000001e-06,0.00046699999999999997,0.0029242069999999,0.295,97.99700000000001,263867.0,316688049.0,1299086.0,324127594.2707616,31150.0,4,1,0,0
6.0,0.44245072799999996,7.0,-6.501848835909317,0.0326,1.7575999999999992e-05,0.0,0.000944076141,0.8420000000000001,103.03200000000001,260560.0,249074.0,922.0,201457474.0,140.0,5,1,0,0
0.0,0.2258665289999999,10.0,-7.115218215916951,0.0323,0.291434247,1.13e-05,0.010793861,0.4815553186187305,166.668,258027.0,76758188.0,252380.0,136332369.0,6860.0,6,1,0,0
6.0,0.4949136710000001,10.0,-6.63,0.0414,4.9836031999999996e-05,0.0,0.000334255384,0.879,116.04299999999999,224306.6291660292,105107732.0,740856.0,140211873.0,43300.0,7,1,0,0
1.0,0.8986321249999999,10.0,-5.022,0.10213791188414173,4.826808999999999e-12,0.10218479084181385,0.000622835864,0.34700000000000003,125.152,262000.0,22878351.0,93766.0,128201040.0,3668.0,8,1,0,0
5.0,0.2541258313414425,5.411011390691575,-5.827826283637184,0.0261,0.0789535889999999,0.0139186696312288,0.0052680239999999,0.677,106.191,170493.0,44458549.0,276258.0,105775598.0,6509.0,9,1,0,0
1.0,0.3548949119999999,1.0,-5.18734687079935,0.0301,5.1064811e-05,0.0,0.0009880479359999,0.612,164.00099999999998,203438.0,2419753.0,-285178.40295528306,15191393.0,1861.0,10,1,0,0
3.0,0.6294227929999999,5.0,-5.172999999999999,0.0589,2.7818127e-08,2.23e-06,0.0229063039999999,0.759,96.23100000000001,260400.0,86252134.0,357275.0,53372857.0,9334.0,11,1,0,0
2.0,0.144703125,6.0,-7.31,0.0341,0.0050884479999999,0.0,0.002406104,0.29100000000000004,156.207,204640.0,26341526.0,83668.0,45956641.0,2923.0,12,1,0,0
0.0,0.0065392029999999,2.0,-14.103585085483822,0.04053851669254531,0.9673616690000001,0.1484388339894957,0.001030301,0.213,132.731,193702.73347055467,88490455.0,1939359.0,427523589.0,3259.0,13,0,0,1
